Æ«²î,-10%,-8%,-6%,-4%,-2%,0%,2%,4%,6%,8%,10%
sn/%,-2.538169261,-1.885368546,-1.24553964,-0.61761361,0,0.610017241,1.213533619,1.785108967,2.229867857,2.504540812,2.71705917
ICV/¡ë,-1.016648015,-0.755971192,-0.49994773,-0.248167107,0,0.24567243,0.489615159,0.724303537,0.922490501,1.073881195,1.209654615
